PARK,SIZE (ACRES),SIZE (KM^2),CATEGORY,BOROUGH,LAND AREA (KM^2),BOROUGH POPULATION,MURDER,RAPE,ROBBERY,FELONY ASSAULT,BURGLARY,GRAND LARCENY,GRAND LARCENY OF MOTOR VEHICLE,TOTAL
PELHAM BAY PARK,2771.747,11.22164777,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,2,2,0,3,0,7
VAN CORTLANDT PARK,1146.43,4.641417004,ONE ACRE OR LARGER,BRONX        ,110,142654,0,1,1,2,0,4,0,8
ROCKAWAY BEACH AND BOARDWALK,1072.564,4.342364372,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,1,2,1,3,0,7
FRESHKILLS PARK,913.32,3.697651822,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
FLUSHING MEADOWS CORONA PARK,897.69,3.63437247,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,9,16,7,13,3,48
LATOURETTE PARK & GOLF COURSE,843.97,3.416882591,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
MARINE PARK,798,3.230769231,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,4,1,1,0,0,6
BELT PARKWAY/SHORE PARKWAY,760.43,3.078663968,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,2,0,2
BRONX PARK,718.373,2.908392713,ONE ACRE OR LARGER,BRONX        ,110,142654,1,0,17,7,0,4,0,29
FRANKLIN D. ROOSEVELT BOARDWALK AND BEACH,644.35,2.608704453,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
ALLEY POND PARK,635.514,2.572931174,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,1,0,1
PROSPECT PARK,526.25,2.130566802,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,1,10,12,0,12,0,35
FOREST PARK,506.86,2.052064777,ONE ACRE OR LARGER,QUEENS       ,280,2405464,1,3,3,1,0,0,0,8
GRAND CENTRAL PARKWAY,460.16,1.862995951,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
FERRY POINT PARK,413.8,1.675303644,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,1,0,1,0,2
CONEY ISLAND BEACH & BOARDWALK,399.203,1.616206478,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,1,10,10,0,14,0,35
CUNNINGHAM PARK,358,1.449392713,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,1,0,0,3,0,4
RICHMOND PARKWAY,350.983,1.420983806,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
CROSS ISLAND PARKWAY,326.895,1.323461538,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
GREAT KILLS PARK,315.094,1.275684211,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
WOLFE'S POND PARK,302.693,1.225477733,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,1,0,1
CONFERENCE HOUSE PARK,286.382,1.159441296,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
RANDALL'S ISLAND PARK,256.111,1.03688664,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,0,1,0,1,6,0,8
ROCKAWAY COMMUNITY PARK,255.4,1.034008097,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
KISSENA PARK,237.147,0.960109312,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,5,0,0,1,0,6
RIVERSIDE PARK,235.765,0.95451417,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,1,10,3,6,10,2,32
HUTCHINSON RIVER PARKWAY,229.14,0.927692308,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,0,0,0,0,0
BLUE HERON PARK,217.45,0.880364372,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
DYKER BEACH PARK,216.655,0.877145749,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,3,4,0,1,0,8
WILLOWBROOK PARK,214.947,0.870230769,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
STATEN ISLAND INDUSTRIAL PARK,210.928,0.853959514,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
SILVER LAKE PARK,205.977,0.83391498,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,1,0,0,0,0,1
BRONX RIVER PARKWAY,205.647,0.832578947,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,2,0,0,0,2
SOUNDVIEW PARK,205.31,0.831214575,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,9,1,0,1,0,11
BELT PARKWAY,202.647,0.820433198,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
WILLOWBROOK PARKWAY,198.481,0.803566802,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
INWOOD HILL PARK,196.398,0.795133603,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,0,1,2,0,2,0,5
CLOVE LAKES PARK,193.423,0.783089069,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,2,0,0,0,0,0,2
FORT WASHINGTON PARK,184.143,0.745518219,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,0,2,0,0,0,0,2
IDLEWILD PARK,180.85,0.732186235,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
WARDS ISLAND PARK,176.581,0.714902834,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,1,0,1,0,1,0,3
SOUTH SHORE COUNTRY CLUB,173.994,0.70442915,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
SAW MILL CREEK MARSH,171.778,0.69545749,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
BLOOD ROOT VALLEY,161.242,0.652801619,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
JAMAICA BAY PARK,149.54,0.605425101,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
KISSENA CORRIDOR PARK,146.81,0.59437247,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,9,2,0,3,0,14
HIGHLAND PARK,146.339,0.592465587,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,1,3,2,1,0,3,10
ARDEN WOODS,145.864,0.59054251,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
RIVERDALE PARK,144.29,0.58417004,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,0,0,0,0,0
OCEAN PARKWAY MALLS,140,0.566801619,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
BLOOMINGDALE PARK,138.1,0.559109312,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
OCEAN BREEZE PARK,136.568,0.552906883,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
CANARSIE PARK,132.2,0.535222672,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,3,1,0,1,0,5
HIGHBRIDGE PARK MANHATTAN SIDE,130.1,0.526720648,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,0,5,1,1,2,0,9
CROTONA PARK,127.5,0.516194332,ONE ACRE OR LARGER,BRONX        ,110,142654,0,2,10,1,2,2,0,17
PAERDEGAT BASIN PARK,118.795,0.480951417,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
HOOK CREEK PARK,111.163,0.450052632,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
CRESCENT BEACH PARK,110.96,0.449230769,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
CLEARVIEW PARK GOLF COURSE,110.93,0.449109312,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,1,0,1
BAISLEY POND PARK,109.609,0.443761134,ONE ACRE OR LARGER,QUEENS       ,280,2405464,1,0,6,1,0,4,0,12
PELHAM PARKWAY,108.91,0.440931174,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,2,1,0,0,0,3
PRALLS ISLAND,107.514,0.435279352,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
MARINERS MARSH PARK,107.2,0.434008097,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
DOUGLASTON PARK GOLF COURSE,104.6,0.423481781,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
LEMON CREEK PARK,104.545,0.423259109,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,1,0,0,0,1
SPRING CREEK PARK,99.566,0.403101215,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
HIGH ROCK PARK,94.1,0.38097166,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,1,0,0,1
LONG POND PARK,91.948,0.372259109,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
BROOKVILLE PARK,89.946,0.364153846,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,1,0,0,0,0,1
ISLE OF MEADOWS,87.516,0.354315789,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
CALVERT VAUX PARK,85.527,0.346263158,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,1,1,0,4,0,6
PUGSLEY CREEK PARK,83.615,0.338522267,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,4,1,0,0,0,5
SNUG HARBOR CULTURAL CENTER,83.3,0.337246964,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
MOSHOLU PARKWAY,80.936,0.327676113,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,7,0,0,0,0,7
MCGUIRE FIELDS,77.181,0.312473684,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
FRESH CREEK NATURE PRESERVE,77.044,0.311919028,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
JACKIE ROBINSON PARKWAY,72.75,0.294534413,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
FORT TRYON PARK,67.213,0.272117409,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,0,7,1,0,0,0,8
RIVERSIDE PARK SOUTH,66.693,0.270012146,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,0,2,0,0,0,0,2
EASTERN PARKWAY,65.7,0.265991903,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
FOUR SPARROW MARSH,64.665,0.261801619,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
FORT TOTTEN PARK,60.394,0.244510121,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,1,0,1
ASTORIA PARK,59.956,0.242736842,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,1,0,1
LAURELTON PARKWAY,59.612,0.24134413,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
RED HOOK RECREATION AREA,58.503,0.236854251,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,1,0,1,0,2
SHORE PARK AND PARKWAY,58,0.234817814,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
SPRING CREEK PARK ADDITION,57.921,0.234497976,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
JUNIPER VALLEY PARK,55.639,0.225259109,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,1,0,0,1,0,2
LITTLE BAY PARK,55.22,0.223562753,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
POWELL'S COVE PARK,55.023,0.222765182,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
HENRY HUDSON PARKWAY,54.1,0.21902834,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,0,0,0,0,0
HARLEM RIVER PARK,53.967,0.218489879,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,1,0,6,4,1,3,0,15
DUBOS POINT WILDLIFE SANCTUARY,53.298,0.215781377,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
ROY WILKINS RECREATION CENTER,53.238,0.215538462,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,1,0,0,0,1,0,2
REED'S BASKET WILLOW SWAMP PARK,52.375,0.212044534,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
BROOKLYN BOTANIC GARDEN,47.57,0.192591093,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
MEREDITH WOODS,47.521,0.192392713,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
QUEENS FARM PARK,47.08,0.190607287,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
EAST RIVER PARK,45.88,0.185748988,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,1,6,6,1,9,0,23
CROCHERON PARK,45.79,0.185384615,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,1,1,0,0,0,0,2
MACOMBS DAM PARK,44.174,0.178842105,ONE ACRE OR LARGER,BRONX        ,110,142654,0,1,1,3,2,1,0,8
MANHATTAN BEACH PARK,42.941,0.173850202,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,1,3,0,4
UDALL'S PARK PRESERVE,42.768,0.173149798,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
FAIRVIEW PARK,42.6,0.172469636,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
BAYSWATER PARK,40.07,0.162226721,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,1,0,0,0,1
DEERE PARK,39.779,0.161048583,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
PARADE GROUND,39.5,0.159919028,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,1,0,1,0,2
CLAREMONT PARK,38.536,0.156016194,ONE ACRE OR LARGER,BRONX        ,110,142654,1,0,5,3,0,2,0,11
BROAD CHANNEL WETLANDS,37.95,0.153643725,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
CONEY ISLAND BOAT BASIN,36.81,0.14902834,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
BUNKER PONDS PARK,36.691,0.148546559,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
SETON FALLS PARK,35.771,0.144821862,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,1,0,0,0,1
MCCARREN PARK,35.713,0.144587045,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,2,1,0,3,0,6
ST. MARY'S PARK BRONX,35.311,0.142959514,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,4,12,0,2,0,18
SHOOTERS ISLAND,34.689,0.140441296,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
NORTH BROTHER ISLAND,30.395,0.12305668,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,0,0,0,0,0
FORT GREENE PARK,30.168,0.122137652,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,2,2,0,1,0,5
BATTERY PARK CITY,29.99,0.121417004,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,0,0,0,0,1,0,1
MORNINGSIDE PARK,29.888,0.121004049,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,1,2,2,1,2,0,8
MACNEIL PARK,28.87,0.116882591,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
ALLEY ATHLETIC PLAYGROUND,27.531,0.111461538,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
VERNAM BARBADOES PENINSULA,27.484,0.111271255,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
COLLEGE POINT FIELDS,26.83,0.108623482,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
KAISER PARK,26.257,0.106303644,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,1,1,0,1,0,3
SUNSET PARK,24.498,0.099182186,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,5,6,0,3,0,14
OWL'S HEAD PARK,24.218,0.098048583,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,1,0,0,1,0,2
SPRINGFIELD PARK,23.543,0.095315789,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
RECREATIONAL AREA,23.093,0.093493927,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
KING FISHER PARK,23.01,0.093157895,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
SIEDENBURG PARK,22.882,0.092639676,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
ST. NICHOLAS PARK,22.74,0.092064777,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,0,4,2,0,1,0,7
SOUTH BROTHER ISLAND,22.16,0.089716599,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,0,0,0,0,0
LOCUST POINT MARINA,22.07,0.089352227,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,0,0,0,0,0
BATTERY PARK,21.88,0.088582996,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,0,1,0,0,1,0,2
BROOKLYN BRIDGE PARK,21.185,0.085769231,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,1,0,1,13,0,15
ASSER LEVY PARK,21.039,0.085178138,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
SEASIDE WILDLIFE NATURE PARK,20.907,0.084643725,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
WAVE HILL,20.867,0.084481781,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,0,0,0,0,0
QUEENSBRIDGE PARK,20.34,0.082348178,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,2,0,2,0,4
MARCUS GARVEY PARK,20.165,0.081639676,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,2,3,9,2,3,0,19
ISHAM PARK,20.132,0.081506073,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
WILLIAMSBRIDGE OVAL,19.749,0.079955466,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,2,0,0,1,0,3
BRANT POINT WILDLIFE SANCTUARY,19.556,0.079174089,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
BROAD CHANNEL AMERICAN PARK,18.768,0.075983806,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
THEODORE ROOSEVELT PARK,17.574,0.071149798,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
BENSONHURST PARK,17.5,0.070850202,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,1,0,1,0,0,2
LINCOLN TERRACE / ARTHUR S. SOMERS PARK,17.14,0.069392713,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,2,0,7,3,0,0,0,12
JOHN GOLDEN PARK,17,0.068825911,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
BAYVIEW TERRACE PARK,16.944,0.06859919,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
JONES WOODS PARK,16.93,0.06854251,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
FRANCIS LEWIS PARK,16.831,0.0681417,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
LEIF ERICSON PARK,16.8,0.068016194,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,1,1,0,1,0,3
EIBS POND PARK,16.505,0.066821862,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
RAILROAD PARK QUEENS,16.439,0.066554656,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
BREUKELEN BALLFIELDS,16.16,0.065425101,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
FRANZ SIGEL PARK,15.99,0.064736842,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,3,4,0,0,0,7
THOMAS JEFFERSON PARK,15.524,0.062850202,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,0,1,2,1,1,0,5
ALICE AUSTEN PARK,15.524,0.062850202,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
MILL POND PARK,15.496,0.062736842,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,0,2,0,0,2
SHERMAN CREEK,15.383,0.062279352,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
HARRIS PARK,15.32,0.062024291,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,0,0,1,1,2
GOODHUE,15.064,0.060987854,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
MULLALY PARK,15.049,0.060927126,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,6,0,0,1,0,7
TREMONT PARK,15,0.060728745,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,2,2,0,2,0,6
CARL SCHURZ PARK,14.938,0.060477733,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,0,4,0,0,2,0,6
GRAND ARMY PLAZA BROOKLYN,14.257,0.057720648,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
VON BRIESEN PARK,13.938,0.05642915,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
MOTOR PARKWAY,13.894,0.056251012,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
UNNAMED PARK ON BEACH CHANNEL DRIVE & BEACH 116TH STREET TO BEACH 108TH STREET,13.826,0.055975709,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
BEACH 17 PLAYGROUND,13.75,0.055668016,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,1,0,0,0,1
TUDOR PARK,13.543,0.05482996,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,1,0,0,0,0,1
AQUEDUCT WALK,13.533,0.054789474,ONE ACRE OR LARGER,BRONX        ,110,142654,1,1,6,6,0,1,0,15
FATHER MACRIS PARK,13.469,0.054530364,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,1,0,0,0,0,1
STARLIGHT PARK,12.93,0.052348178,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,2,4,0,0,0,6
JACKIE ROBINSON PARK MANHATTAN,12.772,0.051708502,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,0,0,1,0,0,0,1
BROOKLYN MUSEUM,12.66,0.051255061,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
BEACH CHANNEL PARK,12.624,0.051109312,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
GREENBELT NATIVE PLANT CENTER,12.247,0.049582996,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
BOWNE PARK,11.788,0.047724696,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
SETON PARK,11.689,0.047323887,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,0,0,0,0,0
RUFUS KING PARK,11.5,0.046558704,ONE ACRE OR LARGER,QUEENS       ,280,2405464,1,0,8,0,0,2,0,11
FRANK GOLDEN PARK,11.422,0.046242915,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
ST. JAMES PARK,11.39,0.04611336,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,1,3,0,1,0,5
RICHMOND TERRACE WETLANDS,11.193,0.045315789,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
BARRETTO POINT PARK,11.161,0.045186235,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,0,0,0,0,0
ST. ALBANS PARK,10.79,0.043684211,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,1,0,0,0,0,1
GEMINI FIELDS,10.761,0.043566802,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,0,0,0
GIVANS CREEK WOODS,10.735,0.043461538,ONE ACRE OR LARGER,BRONX        ,110,142654,0,0,0,0,0,0,0,0
BETSY HEAD PARK,10.555,0.042732794,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
TOMPKINS SQUARE PARK,10.502,0.042518219,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,0,8,4,0,12,0,24
CPL. THOMPSON PARK,10.5,0.042510121,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
COMMODORE BARRY PARK,10.391,0.042068826,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,1,1,0,0,0,2
CADMAN PLAZA PARK,10.384,0.042040486,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
BROADWAY MALLS,10.242,0.041465587,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,0,0,0,0,0,0,0
STEEPLECHASE PARK,10.01,0.040526316,ONE ACRE OR LARGER,BROOKLYN     ,183.4,2736074,0,0,0,0,0,0,0,0
HUNTER'S POINT SOUTH PARK,10,0.04048583,ONE ACRE OR LARGER,QUEENS       ,280,2405464,0,0,0,0,0,3,0,3
UNNAMED PARK ON RICHMOND TERRACE,9.934,0.040218623,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
HYBRID OAK WOODS PARK,9.763,0.039526316,ONE ACRE OR LARGER,STATEN ISLAND,152,495747,0,0,0,0,0,0,0,0
WASHINGTON SQUARE PARK,9.749,0.039469636,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,1,18,47,0,53,0,119
BRYANT PARK,9.603,0.038878543,ONE ACRE OR LARGER,MANHATTAN    ,59.1,1694251,0,0,0,3,8,9,0,20
